pert,freenrg_1,freenrg_2,freenrg_3,freenrg_4,freenrg_5,SEM
mobley_1662128~mobley_7047032,-25.109701,-24.950297,-25.008084,-25.010547,-25.793348,0.15684603266790056
mobley_7015518~mobley_303222,17.833264,16.627897,17.715131,17.002873,17.150193,0.10865291427250828
mobley_1046331~mobley_3515580,17.861679,17.985948,18.469134,18.304531,18.315318,0.1131666426925358
mobley_1563176~mobley_5935995,2.311669,2.125655,2.485517,2.239475,2.757905,0.11022069423588295
mobley_1717215~mobley_3982371,-20.648742,-20.214194,-20.224504,-20.334439,-20.313983,0.079037551397168
mobley_9838013~mobley_8436428,24.886918,25.369058,24.971872,24.765023,24.837914,0.07079577029926747
mobley_9507933~mobley_63712,-13.48663,-13.149136,48.297648,27.187568,-13.48663,10.053514721344788
mobley_1717215~mobley_8118832,3.967912,3.781637,4.075908,3.869101,3.86969,0.050305738826300954
mobley_1717215~mobley_5816127,11.973746,12.813214,12.252736,12.195156,12.227195,0.13929625162350925
mobley_1017962~mobley_718988,-3.15632,-3.095366,-3.595722,-2.710989,-2.916551,0.14727377411155043
mobley_9478823~mobley_4715906,-51.836083,-51.732806,-51.928771,-51.988584,-51.758251,0.048862219565836834
mobley_4715906~mobley_2451097,66.684833,68.646358,73.798858,69.500462,70.171303,1.1671708101077314
mobley_1019269~mobley_1792062,3.239979,3.554587,1.574053,3.141268,-1.201271,0.8850790756760889
mobley_1563176~mobley_2422586,0.897831,1.225301,0.33688,0.765147,0.976219,0.14647341522528923
mobley_1019269~mobley_6973347,-17.938804,-17.954054,-17.656805,-17.926649,-17.770117,0.05843436738718104
mobley_1592519~mobley_3572203,7.388789,7.588369,7.479008,7.239012,7.916276,0.1139152483741312
mobley_1036761~mobley_3398536,64.281063,64.170356,62.185709,65.614319,65.886692,0.6576843570188805
mobley_9671033~mobley_1235151,-10.399452,-5.722073,-10.282854,-3.315697,-17.507139,1.6195994218930527
mobley_1017962~mobley_3269565,-5.363643,-5.144069,-5.345447,-3.628617,-3.76513,0.39136001795283065
mobley_1199854~mobley_1977493,1.685335,1.980703,1.996072,1.888653,2.038272,0.06304217626557637
mobley_9257453~mobley_5072416,41.705415,41.705415,41.705415,41.705415,41.705415,0.0
mobley_1905088~mobley_1760914,1.810652,2.545494,1.772345,2.521945,2.543816,0.1827782844247642
mobley_1650157~mobley_303222,54.524743,55.822053,56.080599,57.158683,55.046465,0.45234567042269835
mobley_7497999~mobley_2043882,-59.926863,-58.480259,-59.24334,-58.539855,-58.556048,0.2814587660860823
mobley_9434451~mobley_3034976,-43.504297,-42.513105,-43.903779,-43.867903,-42.949779,0.1800769925319719
mobley_5692472~mobley_5499659,-3.502695,-3.078612,-2.969499,-2.858674,-2.296693,0.07733584211449368
mobley_7227357~mobley_4177472,15.198295,14.350697,15.039412,15.249095,14.807804,0.07968623908940509
mobley_1662128~mobley_1563176,-23.143059,-23.534337,-23.529889,-23.665726,-22.676094,0.18095927761211927
mobley_1717215~mobley_1636752,1.310107,2.011269,1.924429,1.745151,1.066886,0.1820775285771421
mobley_1424265~mobley_8691603,-24.182709,-24.423203,-24.465375,-24.433003,-24.239252,0.05735966565244283
mobley_3546460~mobley_1827204,5.125547,5.082797,5.085085,4.972826,5.169721,0.03269975477339234
mobley_1017962~mobley_1881249,-5.860344,-5.714022,-6.092492,-5.345272,-6.234195,0.1548794427559707
mobley_9624458~mobley_3269565,-3.985389,-3.985389,-3.985389,-3.985389,-3.985389,0.0
mobley_9838013~mobley_5346580,41.812812,41.868528,41.700525,42.117538,41.711826,0.05042860902851814
mobley_1977493~mobley_1903702,-35.095854,27.898213,-75.598359,0.692869,16.270177,18.87265786881227
mobley_1107178~mobley_2008055,5.031914,5.623309,6.437552,5.879276,4.837697,0.28953584828697804
mobley_20524~mobley_7608462,22.053139,21.526971,21.308565,21.717928,22.204878,0.16487672255094113
mobley_929676~mobley_3573480,-9.612262,-10.200339,-10.00459,-10.006335,-10.076241,0.06571673744407384
mobley_1261349~mobley_7769613,-8.681919,-8.193117,-8.465542,-8.593759,-8.076021,0.1159866666697512
mobley_900088~mobley_2245668,-48.332088,-48.352477,-48.080723,-47.918248,-47.789176,0.11123792057864118
mobley_20524~mobley_4883284,-12.577083,-12.429635,-12.56126,-12.598817,-12.524731,0.029737005421528448
mobley_1563176~mobley_9121449,27.840549,27.727117,27.377208,28.492956,28.290817,0.20007664577071466
mobley_6353617~mobley_1858644,56.412447,56.93531,56.93531,56.412447,56.689919,0.07026692641863194
mobley_951560~mobley_5220185,16.008946,16.250818,17.516288,15.184465,13.904915,0.39886362423234323
mobley_1903702~mobley_3867265,-8.34645,-7.760128,-7.974093,-8.395119,-8.728973,0.1696271253646067
mobley_9434451~mobley_3999471,0.498018,-0.722321,-0.366964,0.107947,0.451213,0.15772491432513477
mobley_1662128~mobley_2178600,-19.732746,-15.999517,-15.999517,-10.528964,-15.855763,1.4693012491716801
mobley_9653690~mobley_349850,26.23382,27.493331,24.623861,25.782354,25.07313,0.33196371534969515
mobley_1019269~mobley_1800170,-0.860904,-1.534314,-0.620495,-1.6601,-0.328305,0.2584343228246975
mobley_1636752~mobley_2008055,2.743033,2.678551,2.610137,2.776331,2.806216,0.03527327778304704
mobley_1019269~mobley_7203421,-36.447604,-39.497429,-37.034792,-35.863779,-34.714042,0.7951109532783077
mobley_1563176~mobley_5627459,11.03175,10.146219,10.013562,10.401276,10.807994,0.193284716182734
mobley_1563176~mobley_9246215,37.740323,39.918207,38.27604,40.67386,39.247854,0.5324754814995147
mobley_1735893~mobley_2341732,32.858742,33.846165,33.838528,33.81821,33.820151,0.1944772925499016
mobley_3969312~mobley_1036761,-70.924925,-70.328822,-70.876125,-71.157583,-70.71963,0.1374272313404445
