# Analysing data contained in file(s) ['/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_0.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_1.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_2.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_3.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_4.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_5.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_6.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_7.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_8.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_9.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_10.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_11.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_12.dat', '/tmp/527.1.all.q/analyse_freenrg_mbar_26005_1/simfile_13.dat']
#Overlap matrix
0.7086 0.2599 0.0305 0.0010 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.2599 0.4761 0.2329 0.0298 0.0012 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0305 0.2329 0.4633 0.2358 0.0357 0.0018 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0010 0.0298 0.2358 0.4511 0.2406 0.0396 0.0020 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0012 0.0357 0.2406 0.4391 0.2413 0.0399 0.0022 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0018 0.0396 0.2413 0.4356 0.2368 0.0422 0.0026 0.0001 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0020 0.0399 0.2368 0.4295 0.2435 0.0453 0.0029 0.0001 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0022 0.0422 0.2435 0.4231 0.2396 0.0458 0.0034 0.0001 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0026 0.0453 0.2396 0.4178 0.2397 0.0504 0.0044 0.0001 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0029 0.0458 0.2397 0.4052 0.2442 0.0577 0.0044 0.0001
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0034 0.0504 0.2442 0.4030 0.2467 0.0486 0.0036
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0044 0.0577 0.2467 0.4054 0.2339 0.0517
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0044 0.0486 0.2339 0.4241 0.2888
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0036 0.0517 0.2888 0.6557
#DG from neighbouring lambda in kcal/mol
0.0000 0.0769 -0.4356 0.0082
0.0769 0.1538 -0.4197 0.0082
0.1538 0.2308 -0.4237 0.0079
0.2308 0.3077 -0.3259 0.0075
0.3077 0.3846 -0.1822 0.0074
0.3846 0.4615 -0.0617 0.0074
0.4615 0.5385 0.0710 0.0071
0.5385 0.6154 0.2274 0.0071
0.6154 0.6923 0.3656 0.0069
0.6923 0.7692 0.5511 0.0065
0.7692 0.8462 0.7910 0.0065
0.8462 0.9231 0.8804 0.0071
0.9231 1.0000 0.9537 0.0067
#PMF from MBAR in kcal/mol
0.0000 0.0000 0.0000
0.0769 -0.4356 0.0082
0.1538 -0.8553 0.0139
0.2308 -1.2790 0.0178
0.3077 -1.6048 0.0208
0.3846 -1.7871 0.0233
0.4615 -1.8487 0.0255
0.5385 -1.7777 0.0275
0.6154 -1.5503 0.0293
0.6923 -1.1847 0.0310
0.7692 -0.6336 0.0324
0.8462 0.1574 0.0338
0.9231 1.0378 0.0353
1.0000 1.9914 0.0366
#TI average gradients and standard deviation in kcal/mol
0.0000 -5.3205 13.6491
0.0769 -3.3419 13.1972
0.1538 -6.2909 12.8404
0.2308 -6.3337 12.2103
0.3077 -2.5898 12.5500
0.3846 -0.1393 12.0718
0.4615 -0.1701 11.8939
0.5385 2.3784 11.6520
0.6154 3.6145 11.1917
0.6923 5.1042 11.7486
0.7692 9.1349 10.9052
0.8462 12.0635 11.3494
0.9231 10.0968 11.8592
1.0000 13.7814 10.6870
#PMF from TI in kcal/mol
0.0000 0.0000
0.0769 -0.3331
0.1538 -0.7035
0.2308 -1.1895
0.3077 -1.5326
0.3846 -1.6375
0.4615 -1.6494
0.5385 -1.5644
0.6154 -1.3340
0.6923 -0.9988
0.7692 -0.4513
0.8462 0.3649
0.9231 1.2169
1.0000 2.1351
#MBAR free energy difference in kcal/mol: 
1.991445, 0.036603  #WARNING SUBSAMPLING DISABLED, CONSIDER RERUN WITH SUBSAMPLING OPTION
#TI free energy difference in kcal/mol: 
2.135056  #WARNING SUBSAMPLING DISABLED, CONSIDER RERUN WITH SUBSAMPLING OPTION 
