#This file was generated on Sat 16 Nov 2019 06:29:11 GMT
#Using the somd command, of the molecular library Sire version <2019.1.0> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 20000 moves, 100 cycles and 4000 ps of simulation time 
#Generating lambda is		 0.23080
#Alchemical array is		 (0.0, 0.0769, 0.1538, 0.2308, 0.3077, 0.3846, 0.4615, 0.5385, 0.6154, 0.6923, 0.7692, 0.8462, 0.9231, 1.0)
#Generating temperature is 	25 C
#Energy was saved every 250 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
       0           -1.07662895e+04            6.26027195e+01            9.39172863e-01            1.06444093e+00    -8.655510498499729e+02    -8.658223836103464e+02    -8.638947667888325e+02    -8.600714311510458e+02    -8.539901074951335e+02    -8.436524164488962e+02    -8.216130677057707e+02    -7.603926637713904e+02    -5.502990470828796e+02     3.275607941366875e+02     5.060618045157111e+03     4.392656298433043e+04     7.639197562824124e+05     1.362327339748263e+08
     250           -1.03747615e+04            6.53069437e+01            9.36672768e-01            1.06736457e+00    -8.373562092956720e+02    -8.375821979624062e+02    -8.354490855601331e+02    -8.313597235683031e+02    -8.253347677537836e+02    -8.166593302347623e+02    -8.023617156144527e+02    -7.719888061062687e+02    -6.889049207126587e+02    -4.119783385529034e+02     6.930766034985035e+02     6.321418249363130e+03     4.989361132264396e+04     9.042315621285581e+05
     500           -1.03627532e+04            6.15051859e+01            9.40225903e-01            1.06329785e+00    -8.677308814567680e+02    -8.682058406597353e+02    -8.663809391836081e+02    -8.626220207654072e+02    -8.567395835628048e+02    -8.473245562108958e+02    -8.290523997767091e+02    -7.829093036468455e+02    -6.379777643499523e+02    -9.361282552311070e+01     2.396330001739245e+03     1.766631177700306e+04     1.733599625175577e+05     5.360664047587034e+06
     750           -1.02136633e+04            9.62293775e+01            9.08169269e-01            1.10090686e+00    -8.681733752469563e+02    -8.656809051089270e+02    -8.610539109332361e+02    -8.546038920689153e+02    -8.459759578772025e+02    -8.332453795110383e+02    -8.094639326119948e+02    -7.500014061176408e+02    -5.625110424724696e+02     1.490683226269822e+02     3.456658610852286e+03     2.421451462265379e+04     2.409334507202134e+05     6.835853229566230e+06
    1000           -1.01243797e+04            7.88119390e+01            9.24068790e-01            1.08183115e+00    -8.600885012675999e+02    -8.591989371263472e+02    -8.559978759268580e+02    -8.508735213331418e+02    -8.437693573729892e+02    -8.337627449854072e+02    -8.173225235852723e+02    -7.823757059850660e+02    -6.873953467356797e+02    -3.758057578350216e+02     8.334164811690958e+02     6.697279885991782e+03     4.815677286771100e+04     7.312773130822320e+05
    1250           -1.00609285e+04            7.04346662e+01            9.31734354e-01            1.07268173e+00    -8.390038835107667e+02    -8.397420617900054e+02    -8.380130159895734e+02    -8.339519235484800e+02    -8.265475823562064e+02    -8.115857413054247e+02    -7.734817931606982e+02    -6.514846797447951e+02    -1.801537303266483e+02     2.057257211108051e+03     1.627630081163201e+04     1.642424000806961e+05     4.306684856970263e+06     3.015534345516160e+09
    1500           -1.01252220e+04            6.51932856e+01            9.36797933e-01            1.06726457e+00    -8.519302761948464e+02    -8.521328002650565e+02    -8.499937837462788e+02    -8.459215447766213e+02    -8.398527366716946e+02    -8.308298197952803e+02    -8.152003280010115e+02    -7.805676619931278e+02    -6.847464110783731e+02    -3.713963126534300e+02     8.194013106579462e+02     6.312826949686551e+03     4.038889333378173e+04     4.043786923835248e+05
    1750           -1.01645137e+04            8.27849859e+01            9.20473847e-01            1.08621946e+00    -8.730432223798783e+02    -8.714425491519684e+02    -8.676730887240529e+02    -8.621517842400931e+02    -8.548189220554343e+02    -8.446644472319251e+02    -8.277827003181694e+02    -7.907266537366148e+02    -6.870101340814223e+02    -3.412458324029533e+02     1.002469063604108e+03     7.357763501885966e+03     4.771349605802211e+04     4.768456851321704e+05
    2000           -1.01223067e+04            2.34015170e+01            9.76722972e-01            1.02352322e+00    -8.287569969524751e+02    -8.331386836200402e+02    -8.348550725002596e+02    -8.342407608090241e+02    -8.310675968140176e+02    -8.239761610887025e+02    -8.081159069249945e+02    -7.671210244813428e+02    -6.441283972014346e+02    -2.203370652900596e+02     1.481444507387132e+03     9.969736113093852e+03     6.966456641290693e+04     8.764512669906730e+05
    2250           -1.01026529e+04            6.22726809e+01            9.39423098e-01            1.06402198e+00    -8.314185050722009e+02    -8.333886928645809e+02    -8.326541176603714e+02    -8.293255667900661e+02    -8.226019012661897e+02    -8.095652044769621e+02    -7.805816935502431e+02    -7.020986941682002e+02    -4.443400285462001e+02     6.014279148956040e+02     6.302640228843246e+03     5.892723810724707e+04     1.584893899213013e+06     3.046620247184425e+09
    2500           -1.01698296e+04            4.32908101e+01            9.57488014e-01            1.04408358e+00    -8.644551539596297e+02    -8.665430482155957e+02    -8.662444847146915e+02    -8.639298429712642e+02    -8.594023272158975e+02    -8.512357481693786e+02    -8.340654507329567e+02    -7.889051182021132e+02    -6.457109435803975e+02    -1.105929153612082e+02     2.324674310822433e+03     1.751249987282893e+04     1.893366418480066e+05     9.250468397242708e+06
    2750           -1.01563669e+04            2.65325590e+01            9.73604891e-01            1.02666471e+00    -8.352440291404519e+02    -8.399353402005172e+02    -8.418297141379471e+02    -8.411585548133619e+02    -8.374351284586450e+02    -8.285482889036152e+02    -8.071819748250929e+02    -7.478869921008312e+02    -5.563085551642920e+02     1.674913322974874e+02     3.480435486462804e+03     2.374938497139533e+04     2.269775614425234e+05     5.986938385264779e+06
